Žebřík;;;;;;;;;;;;;;;;;;;;
Věk M;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
10;2,75;2,8;2,85;2,9;2,95;3;3,05;3,1;3,15;3,2;3,25;3,3;3,35;3,4;3,45;3,5;3,55;3,6;3,65;3,7
11;2,67;2,72;2,77;2,82;2,87;2,92;2,97;3,02;3,07;3,12;3,17;3,22;3,27;3,32;3,37;3,42;3,47;3,52;3,57;3,62
12;2,59;2,64;2,69;2,74;2,79;2,84;2,89;2,94;2,99;3,04;3,09;3,14;3,19;3,24;3,29;3,34;3,39;3,44;3,49;3,54
13;2,51;2,56;2,61;2,66;2,71;2,76;2,81;2,86;2,91;2,96;3,01;3,06;3,11;3,16;3,21;3,26;3,31;3,36;3,41;3,46
14;2,45;2,5;2,55;2,6;2,65;2,7;2,75;2,8;2,85;2,9;2,95;3;3,05;3,1;3,15;3,2;3,25;3,3;3,35;3,4
15;2,41;2,46;2,51;2,56;2,61;2,66;2,71;2,76;2,81;2,86;2,91;2,96;3,01;3,06;3,11;3,16;3,21;3,26;3,31;3,36
16;2,38;2,43;2,48;2,53;2,58;2,63;2,68;2,73;2,78;2,83;2,88;2,93;2,98;3,03;3,08;3,13;3,18;3,23;3,28;3,33
17;2,35;2,4;2,45;2,5;2,55;2,6;2,65;2,7;2,75;2,8;2,85;2,9;2,95;3;3,05;3,1;3,15;3,2;3,25;3,3
18;2,33;2,38;2,43;2,48;2,53;2,58;2,63;2,68;2,73;2,78;2,83;2,88;2,93;2,98;3,03;3,08;3,13;3,18;3,23;3,28
19;2,31;2,36;2,41;2,46;2,51;2,56;2,61;2,66;2,71;2,76;2,81;2,86;2,91;2,96;3,01;3,06;3,11;3,16;3,21;3,26
20;2,3;2,35;2,4;2,45;2,5;2,55;2,6;2,65;2,7;2,75;2,8;2,85;2,9;2,95;3;3,05;3,1;3,15;3,2;3,25
;;;;;;;;;;;;;;;;;;;;
Věk Ž;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
10;2,75;2,8;2,85;2,9;2,95;3;3,05;3,1;3,15;3,2;3,25;3,3;3,35;3,4;3,45;3,5;3,55;3,6;3,65;3,7
11;2,66;2,71;2,76;2,81;2,86;2,91;2,96;3,01;3,06;3,11;3,16;3,21;3,26;3,31;3,36;3,41;3,46;3,51;3,56;3,61
12;2,59;2,64;2,69;2,74;2,79;2,84;2,89;2,94;2,99;3,04;3,09;3,14;3,19;3,24;3,29;3,34;3,39;3,44;3,49;3,54
13;2,52;2,57;2,62;2,67;2,72;2,77;2,82;2,87;2,92;2,97;3,02;3,07;3,12;3,17;3,22;3,27;3,32;3,37;3,42;3,47
14;2,48;2,53;2,58;2,63;2,68;2,73;2,78;2,83;2,88;2,93;2,98;3,03;3,08;3,13;3,18;3,23;3,28;3,33;3,38;3,43
15;2,45;2,5;2,55;2,6;2,65;2,7;2,75;2,8;2,85;2,9;2,95;3;3,05;3,1;3,15;3,2;3,25;3,3;3,35;3,4
16;2,43;2,48;2,53;2,58;2,63;2,68;2,73;2,78;2,83;2,88;2,93;2,98;3,03;3,08;3,13;3,18;3,23;3,28;3,33;3,38
17;2,42;2,47;2,52;2,57;2,62;2,67;2,72;2,77;2,82;2,87;2,92;2,97;3,02;3,07;3,12;3,17;3,22;3,27;3,32;3,37
18;2,41;2,46;2,51;2,56;2,61;2,66;2,71;2,76;2,81;2,86;2,91;2,96;3,01;3,06;3,11;3,16;3,21;3,26;3,31;3,36
19;2,41;2,46;2,51;2,56;2,61;2,66;2,71;2,76;2,81;2,86;2,91;2,96;3,01;3,06;3,11;3,16;3,21;3,26;3,31;3,36
20;2,4;2,45;2,5;2,55;2,6;2,65;2,7;2,75;2,8;2,85;2,9;2,95;3;3,05;3,1;3,15;3,2;3,25;3,3;3,35
;;;;;;;;;;;;;;;;;;;;
3skok M;;;;;;;;;;;;;;;;;;;;
Věk M;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;2,70;2,86;3,03;3,19;3,35;3,51;3,67;3,84;4,00;4,16;4,32;4,48;4,65;4,81;4,97;5,13;5,29;5,46;5,62;5,78
11;3,09;3,25;3,42;3,58;3,74;3,90;4,06;4,23;4,39;4,55;4,71;4,87;5,04;5,20;5,36;5,52;5,68;5,85;6,01;6,17
12;3,48;3,64;3,81;3,97;4,13;4,29;4,45;4,62;4,78;4,94;5,10;5,26;5,43;5,59;5,75;5,91;6,07;6,24;6,40;6,56
13;3,93;4,09;4,26;4,42;4,58;4,74;4,90;5,07;5,23;5,39;5,55;5,71;5,88;6,04;6,20;6,36;6,52;6,69;6,85;7,01
14;4,39;4,55;4,72;4,88;5,04;5,20;5,36;5,53;5,69;5,85;6,01;6,17;6,34;6,50;6,66;6,82;6,98;7,15;7,31;7,47
15;4,87;5,03;5,20;5,36;5,52;5,68;5,84;6,01;6,17;6,33;6,49;6,65;6,82;6,98;7,14;7,30;7,46;7,63;7,79;7,95
16;5,10;5,26;5,43;5,59;5,75;5,91;6,07;6,24;6,40;6,56;6,72;6,88;7,05;7,21;7,37;7,53;7,69;7,86;8,02;8,18
17;5,25;5,41;5,58;5,74;5,90;6,06;6,22;6,39;6,55;6,71;6,87;7,03;7,20;7,36;7,52;7,68;7,84;8,01;8,17;8,33
18;5,40;5,56;5,73;5,89;6,05;6,21;6,37;6,54;6,70;6,86;7,02;7,18;7,35;7,51;7,67;7,83;7,99;8,16;8,32;8,48
19;5,49;5,65;5,82;5,98;6,14;6,30;6,46;6,63;6,79;6,95;7,11;7,27;7,44;7,60;7,76;7,92;8,08;8,25;8,41;8,57
20;5,56;5,72;5,89;6,05;6,21;6,37;6,53;6,70;6,86;7,02;7,18;7,34;7,51;7,67;7,83;7,99;8,15;8,32;8,48;8,64
;;;;;;;;;;;;;;;;;;;;
Věk Ž;1,00;2,00;3,00;4,00;5,00;6,00;7,00;8,00;9,00;10,00;11,00;12,00;13,00;14,00;15,00;16,00;17,00;18,00;19,00;20,00
10;2,50;2,66;2,83;2,99;3,15;3,31;3,47;3,64;3,80;3,96;4,12;4,28;4,45;4,61;4,77;4,93;5,09;5,26;5,42;5,58
11;2,74;2,90;3,07;3,23;3,39;3,55;3,71;3,88;4,04;4,20;4,36;4,52;4,69;4,85;5,01;5,17;5,33;5,50;5,66;5,82
12;3,02;3,18;3,35;3,51;3,67;3,83;3,99;4,16;4,32;4,48;4,64;4,80;4,97;5,13;5,29;5,45;5,61;5,78;5,94;6,10
13;3,28;3,44;3,61;3,77;3,93;4,09;4,25;4,42;4,58;4,74;4,90;5,06;5,23;5,39;5,55;5,71;5,87;6,04;6,20;6,36
14;3,51;3,67;3,84;4,00;4,16;4,32;4,48;4,65;4,81;4,97;5,13;5,29;5,46;5,62;5,78;5,94;6,10;6,27;6,43;6,59
15;3,74;3,90;4,07;4,23;4,39;4,55;4,71;4,88;5,04;5,20;5,36;5,52;5,69;5,85;6,01;6,17;6,33;6,50;6,66;6,82
16;3,97;4,13;4,30;4,46;4,62;4,78;4,94;5,11;5,27;5,43;5,59;5,75;5,92;6,08;6,24;6,40;6,56;6,73;6,89;7,05
17;4,10;4,26;4,43;4,59;4,75;4,91;5,07;5,24;5,40;5,56;5,72;5,88;6,05;6,21;6,37;6,53;6,69;6,86;7,02;7,18
18;4,17;4,33;4,50;4,66;4,82;4,98;5,14;5,31;5,47;5,63;5,79;5,95;6,12;6,28;6,44;6,60;6,76;6,93;7,09;7,25
19;4,19;4,35;4,52;4,68;4,84;5,00;5,16;5,33;5,49;5,65;5,81;5,97;6,14;6,30;6,46;6,62;6,78;6,95;7,11;7,27
20;4,19;4,35;4,52;4,68;4,84;5,00;5,16;5,33;5,49;5,65;5,81;5,97;6,14;6,30;6,46;6,62;6,78;6,95;7,11;7,27
;;;;;;;;;;;;;;;;;;;;
Hexagon;;;;;;;;;;;;;;;;;;;;
Věk M;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;9,8;9,6;9,4;9,2;9;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6
11;9,6;9,4;9,2;9;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8
12;9,4;9,2;9;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8;5,6
13;9,2;9;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8;5,6;5,4
14;9,1;8,9;8,7;8,5;8,3;8,1;7,9;7,7;7,5;7,3;7,1;6,9;6,7;6,5;6,3;6,1;5,9;5,7;5,5;5,3
15;8,9;8,7;8,5;8,3;8,1;7,9;7,7;7,5;7,3;7,1;6,9;6,7;6,5;6,3;6,1;5,9;5,7;5,5;5,3;5,1
16;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8;5,6;5,4;5,2;5
17;8,7;8,5;8,3;8,1;7,9;7,7;7,5;7,3;7,1;6,9;6,7;6,5;6,3;6,1;5,9;5,7;5,5;5,3;5,1;4,9
18;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8;5,6;5,4;5,2;5;4,8
19;8,5;8,3;8,1;7,9;7,7;7,5;7,3;7,1;6,9;6,7;6,5;6,3;6,1;5,9;5,7;5,5;5,3;5,1;4,9;4,7
20;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8;5,6;5,4;5,2;5;4,8;4,6
;;;;;;;;;;;;;;;;;;;;
Věk Ž;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;9,8;9,6;9,4;9,2;9;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6
11;9,6;9,4;9,2;9;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8
12;9,4;9,2;9;8,8;8,6;8,4;8,2;8;7,8;7,6;7,4;7,2;7;6,8;6,6;6,4;6,2;6;5,8;5,6
13;8;7,9;7,8;7,7;7,6;7,5;7,4;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1
14;7,9;7,8;7,7;7,6;7,5;7,4;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1;6
15;7,8;7,7;7,6;7,5;7,4;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1;6;5,9
16;7,7;7,6;7,5;7,4;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1;6;5,9;5,8
17;7,6;7,5;7,4;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1;6;5,9;5,8;5,7
18;7,5;7,4;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1;6;5,9;5,8;5,7;5,6
19;7,4;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1;6;5,9;5,8;5,7;5,6;5,5
20;7,3;7,2;7,1;7;6,9;6,8;6,7;6,6;6,5;6,4;6,3;6,2;6,1;6;5,9;5,8;5,7;5,6;5,5;5,4
;;;;;;;;;;;;;;;;;;;;
Ytest;;;;;;;;;;;;;;;;;;;;
Věk M;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;0,41;0,41;0,42;0,42;0,43;0,44;0,44;0,45;0,45;0,46;0,47;0,47;0,48;0,48;0,49;0,5;0,5;0,51;0,51;0,52
11;0,42;0,43;0,43;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54
12;0,43;0,43;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54;0,54
13;0,43;0,44;0,44;0,45;0,46;0,46;0,47;0,47;0,48;0,49;0,49;0,5;0,5;0,51;0,52;0,52;0,53;0,53;0,54;0,55
14;0,44;0,44;0,45;0,45;0,46;0,47;0,47;0,48;0,48;0,49;0,5;0,5;0,51;0,51;0,52;0,53;0,53;0,54;0,54;0,55
15;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54;0,54;0,55;0,55
16;0,44;0,45;0,45;0,46;0,47;0,47;0,48;0,48;0,49;0,5;0,5;0,51;0,51;0,52;0,53;0,53;0,54;0,54;0,55;0,56
17;0,44;0,45;0,46;0,46;0,47;0,47;0,48;0,49;0,49;0,5;0,5;0,51;0,52;0,52;0,53;0,53;0,54;0,55;0,55;0,56
18;0,45;0,45;0,46;0,47;0,47;0,48;0,48;0,49;0,5;0,5;0,51;0,51;0,52;0,53;0,53;0,54;0,54;0,55;0,56;0,56
19;0,45;0,46;0,46;0,47;0,47;0,48;0,49;0,49;0,5;0,5;0,51;0,52;0,52;0,53;0,53;0,54;0,55;0,55;0,56;0,56
20;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54;0,54;0,55;0,55;0,56;0,57
;;;;;;;;;;;;;;;;;;;;
Věk F;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;0,41;0,41;0,42;0,42;0,43;0,44;0,44;0,45;0,45;0,46;0,47;0,47;0,48;0,48;0,49;0,5;0,5;0,51;0,51;0,52
11;0,42;0,42;0,43;0,43;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53
12;0,42;0,43;0,43;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54
13;0,43;0,43;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54;0,54
14;0,43;0,44;0,44;0,45;0,46;0,46;0,47;0,47;0,48;0,49;0,49;0,5;0,5;0,51;0,52;0,52;0,53;0,53;0,54;0,55
15;0,43;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54;0,54;0,55
16;0,44;0,44;0,45;0,46;0,46;0,47;0,47;0,48;0,49;0,49;0,5;0,5;0,51;0,52;0,52;0,53;0,53;0,54;0,55;0,55
17;0,44;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54;0,54;0,55;0,55
18;0,44;0,45;0,45;0,46;0,47;0,47;0,48;0,48;0,49;0,5;0,5;0,51;0,51;0,52;0,53;0,53;0,54;0,54;0,55;0,56
19;0,44;0,45;0,46;0,46;0,47;0,47;0,48;0,49;0,49;0,5;0,5;0,51;0,52;0,52;0,53;0,53;0,54;0,55;0,55;0,56
20;0,45;0,45;0,46;0,46;0,47;0,48;0,48;0,49;0,49;0,5;0,51;0,51;0,52;0,52;0,53;0,54;0,54;0,55;0,55;0,56
;;;;;;;;;;;;;;;;;;;;
Pavlík;;;;;;;;;;;;;;;;;;;;
Věk M;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;27,2;26,4;25,6;24,8;24;23,2;22,4;21,6;20,8;20;19,2;18,4;17,6;16,8;16;15,2;14,4;13,6;12,8;12
11;26,8;26;25,2;24,4;23,6;22,8;22;21,2;20,4;19,6;18,8;18;17,2;16,4;15,6;14,8;14;13,2;12,4;11,6
12;26,3;25,5;24,7;23,9;23,1;22,3;21,5;20,7;19,9;19,1;18,3;17,5;16,7;15,9;15,1;14,3;13,5;12,7;11,9;11,1
13;26;25,2;24,4;23,6;22,8;22;21,2;20,4;19,6;18,8;18;17,2;16,4;15,6;14,8;14;13,2;12,4;11,6;10,8
14;25,8;25;24,2;23,4;22,6;21,8;21;20,2;19,4;18,6;17,8;17;16,2;15,4;14,6;13,8;13;12,2;11,4;10,6
15;25,7;24,9;24,1;23,3;22,5;21,7;20,9;20,1;19,3;18,5;17,7;16,9;16,1;15,3;14,5;13,7;12,9;12,1;11,3;10,5
16;25,7;24,9;24,1;23,3;22,5;21,7;20,9;20,1;19,3;18,5;17,7;16,9;16,1;15,3;14,5;13,7;12,9;12,1;11,3;10,5
17;25,9;25,1;24,3;23,5;22,7;21,9;21,1;20,3;19,5;18,7;17,9;17,1;16,3;15,5;14,7;13,9;13,1;12,3;11,5;10,7
18;26,3;25,5;24,7;23,9;23,1;22,3;21,5;20,7;19,9;19,1;18,3;17,5;16,7;15,9;15,1;14,3;13,5;12,7;11,9;11,1
19;26,6;25,8;25;24,2;23,4;22,6;21,8;21;20,2;19,4;18,6;17,8;17;16,2;15,4;14,6;13,8;13;12,2;11,4
20;27;26,2;25,4;24,6;23,8;23;22,2;21,4;20,6;19,8;19;18,2;17,4;16,6;15,8;15;14,2;13,4;12,6;11,8
;;;;;;;;;;;;;;;;;;;;
Věk Ž;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;27,2;26,4;25,6;24,8;24;23,2;22,4;21,6;20,8;20;19,2;18,4;17,6;16,8;16;15,2;14,4;13,6;12,8;12
11;26,8;26;25,2;24,4;23,6;22,8;22;21,2;20,4;19,6;18,8;18;17,2;16,4;15,6;14,8;14;13,2;12,4;11,6
12;26,4;25,6;24,8;24;23,2;22,4;21,6;20,8;20;19,2;18,4;17,6;16,8;16;15,2;14,4;13,6;12,8;12;11,2
13;26,2;25,4;24,6;23,8;23;22,2;21,4;20,6;19,8;19;18,2;17,4;16,6;15,8;15;14,2;13,4;12,6;11,8;11
14;26,1;25,3;24,5;23,7;22,9;22,1;21,3;20,5;19,7;18,9;18,1;17,3;16,5;15,7;14,9;14,1;13,3;12,5;11,7;10,9
15;26,1;25,3;24,5;23,7;22,9;22,1;21,3;20,5;19,7;18,9;18,1;17,3;16,5;15,7;14,9;14,1;13,3;12,5;11,7;10,9
16;26,2;25,4;24,6;23,8;23;22,2;21,4;20,6;19,8;19;18,2;17,4;16,6;15,8;15;14,2;13,4;12,6;11,8;11
17;26,5;25,7;24,9;24,1;23,3;22,5;21,7;20,9;20,1;19,3;18,5;17,7;16,9;16,1;15,3;14,5;13,7;12,9;12,1;11,3
18;26,8;26;25,2;24,4;23,6;22,8;22;21,2;20,4;19,6;18,8;18;17,2;16,4;15,6;14,8;14;13,2;12,4;11,6
19;27;26,2;25,4;24,6;23,8;23;22,2;21,4;20,6;19,8;19;18,2;17,4;16,6;15,8;15;14,2;13,4;12,6;11,8
20;27,2;26,4;25,6;24,8;24;23,2;22,4;21,6;20,8;20;19,2;18,4;17,6;16,8;16;15,2;14,4;13,6;12,8;12
;;;;;;;;;;;;;;;;;;;;
Medicimbal;;;;;;;;;;;;;;;;;;;;
Věk M;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;2,00;2,20;2,40;2,60;2,80;3,00;3,20;3,40;3,60;3,80;4,20;4,60;5,00;5,40;5,80;6,20;6,60;7,00;7,40;7,80
11;3,50;3,70;3,90;4,10;4,30;4,50;4,70;4,90;5,10;5,30;5,70;6,10;6,50;6,90;7,30;7,70;8,10;8,50;8,90;9,30
12;5,10;5,30;5,50;5,70;5,90;6,10;6,30;6,50;6,70;6,90;7,30;7,70;8,10;8,50;8,90;9,30;9,70;10,10;10,50;10,90
13;6,20;6,40;6,60;6,80;7,00;7,20;7,40;7,60;7,80;8,00;8,40;8,80;9,20;9,60;10,00;10,40;10,80;11,20;11,60;12,00
14;6,90;7,10;7,30;7,50;7,70;7,90;8,10;8,30;8,50;8,70;9,10;9,50;9,90;10,30;10,70;11,10;11,50;11,90;12,30;12,70
15;7,40;7,60;7,80;8,00;8,20;8,40;8,60;8,80;9,00;9,20;9,60;10,00;10,40;10,80;11,20;11,60;12,00;12,40;12,80;13,20
16;7,80;8,00;8,20;8,40;8,60;8,80;9,00;9,20;9,40;9,60;10,00;10,40;10,80;11,20;11,60;12,00;12,40;12,80;13,20;13,60
17;8,15;8,35;8,55;8,75;8,95;9,15;9,35;9,55;9,75;9,95;10,35;10,75;11,15;11,55;11,95;12,35;12,75;13,15;13,55;13,95
18;8,40;8,60;8,80;9,00;9,20;9,40;9,60;9,80;10,00;10,20;10,60;11,00;11,40;11,80;12,20;12,60;13,00;13,40;13,80;14,20
19;8,55;8,75;8,95;9,15;9,35;9,55;9,75;9,95;10,15;10,35;10,75;11,15;11,55;11,95;12,35;12,75;13,15;13,55;13,95;14,35
20;8,70;8,90;9,10;9,30;9,50;9,70;9,90;10,10;10,30;10,50;10,90;11,30;11,70;12,10;12,50;12,90;13,30;13,70;14,10;14,50
;;;;;;;;;;;;;;;;;;;;
Věk Ž;1,00;2,00;3,00;4,00;5,00;6,00;7,00;8,00;9,00;10,00;11,00;12,00;13,00;14,00;15,00;16,00;17,00;18,00;19,00;20,00
10;2,00;2,20;2,40;2,60;2,80;3,00;3,20;3,40;3,60;3,80;4,20;4,60;5,00;5,40;5,80;6,20;6,60;7,00;7,40;7,80
11;3,20;3,40;3,60;3,80;4,00;4,20;4,40;4,60;4,80;5,00;5,40;5,80;6,20;6,60;7,00;7,40;7,80;8,20;8,60;9,00
12;4,20;4,40;4,60;4,80;5,00;5,20;5,40;5,60;5,80;6,00;6,40;6,80;7,20;7,60;8,00;8,40;8,80;9,20;9,60;10,00
13;5,00;5,20;5,40;5,60;5,80;6,00;6,20;6,40;6,60;6,80;7,20;7,60;8,00;8,40;8,80;9,20;9,60;10,00;10,40;10,80
14;5,40;5,60;5,80;6,00;6,20;6,40;6,60;6,80;7,00;7,20;7,60;8,00;8,40;8,80;9,20;9,60;10,00;10,40;10,80;11,20
15;5,70;5,90;6,10;6,30;6,50;6,70;6,90;7,10;7,30;7,50;7,90;8,30;8,70;9,10;9,50;9,90;10,30;10,70;11,10;11,50
16;5,95;6,15;6,35;6,55;6,75;6,95;7,15;7,35;7,55;7,75;8,15;8,55;8,95;9,35;9,75;10,15;10,55;10,95;11,35;11,75
17;6,15;6,35;6,55;6,75;6,95;7,15;7,35;7,55;7,75;7,95;8,35;8,75;9,15;9,55;9,95;10,35;10,75;11,15;11,55;11,95
18;6,30;6,50;6,70;6,90;7,10;7,30;7,50;7,70;7,90;8,10;8,50;8,90;9,30;9,70;10,10;10,50;10,90;11,30;11,70;12,10
19;6,35;6,55;6,75;6,95;7,15;7,35;7,55;7,75;7,95;8,15;8,55;8,95;9,35;9,75;10,15;10,55;10,95;11,35;11,75;12,15
20;6,40;6,60;6,80;7,00;7,20;7,40;7,60;7,80;8,00;8,20;8,60;9,00;9,40;9,80;10,20;10,60;11,00;11,40;11,80;12,20
;;;;;;;;;;;;;;;;;;;;
Stíhačka;;;;;;;;;;;;;;;;;;;;
Věk M;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;168;176;184;192;200;208;216;224;232;240;248;256;264;272;280;288;296;304;312;320
11;198;206;214;222;230;238;246;254;262;270;278;286;294;302;310;318;326;334;342;350
12;228;236;244;252;260;268;276;284;292;300;308;316;324;332;340;348;356;364;372;380
13;258;266;274;282;290;298;306;314;322;330;338;346;354;362;370;378;386;394;402;410
14;283;291;299;307;315;323;331;339;347;355;363;371;379;387;395;403;411;419;427;435
15;303;311;319;327;335;343;351;359;367;375;383;391;399;407;415;423;431;439;447;455
16;323;331;339;347;355;363;371;379;387;395;403;411;419;427;435;443;451;459;467;475
17;343;351;359;367;375;383;391;399;407;415;423;431;439;447;455;463;471;479;487;495
18;358;366;374;382;390;398;406;414;422;430;438;446;454;462;470;478;486;494;502;510
19;368;376;384;392;400;408;416;424;432;440;448;456;464;472;480;488;496;504;512;520
20;373;381;389;397;405;413;421;429;437;445;453;461;469;477;485;493;501;509;517;525
;;;;;;;;;;;;;;;;;;;;
Věk Ž;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;168;175;183;190;198;205;213;220;228;235;243;250;258;265;273;280;288;295;303;310
11;198;205;213;220;228;235;243;250;258;265;273;280;288;295;303;310;318;325;333;340
12;226;233;241;248;256;263;271;278;286;293;301;308;316;323;331;338;346;353;361;368
13;248;255;263;270;278;285;293;300;308;315;323;330;338;345;353;360;368;375;383;390
14;266;273;281;288;296;303;311;318;326;333;341;348;356;363;371;378;386;393;401;408
15;280;287;295;302;310;317;325;332;340;347;355;362;370;377;385;392;400;407;415;422
16;293;300;308;315;323;330;338;345;353;360;368;375;383;390;398;405;413;420;428;435
17;303;310;318;325;333;340;348;355;363;370;378;385;393;400;408;415;423;430;438;445
18;311;318;326;333;341;348;356;363;371;378;386;393;401;408;416;423;431;438;446;453
19;316;323;331;338;346;353;361;368;376;383;391;398;406;413;421;428;436;443;451;458
20;318;325;333;340;348;355;363;370;378;385;393;400;408;415;423;430;438;445;453;460
;;;;;;;;;;;;;;;;;;;;
Beep test;;;;;;;;;;;;;;;;;;;;
Věk M;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;019;022;026;030;034;037;041;045;049;052;056;060;064;067;071;075;079;082;086;090
11;022;026;030;033;037;041;045;049;052;056;060;064;067;071;075;079;083;086;090;094
12;025;029;033;037;041;045;048;052;056;060;064;067;071;075;079;083;087;090;094;098
13;029;033;037;040;044;048;052;056;060;064;067;071;075;079;083;087;090;094;098;102
14;035;039;043;047;051;055;059;063;067;071;074;078;082;086;090;094;098;102;106;110
15;042;046;050;054;058;062;066;070;074;079;083;087;091;095;099;103;107;111;115;119
16;043;047;052;056;061;065;069;074;078;083;087;092;096;100;105;109;114;118;123;127
17;046;051;055;060;065;070;075;079;084;089;094;099;103;108;113;118;123;127;132;137
18;047;051;056;061;066;071;075;080;085;090;095;100;104;109;114;119;124;128;133;138
19;048;053;057;062;067;072;077;081;086;091;096;101;105;110;115;120;125;129;134;139
20;051;055;060;065;070;074;079;084;088;093;098;102;107;112;117;121;126;131;135;140
;;;;;;;;;;;;;;;;;;;;
Věk Ž;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
10;012;015;018;020;023;026;029;032;034;037;040;043;045;048;051;054;057;059;062;065
11;015;018;021;024;027;030;033;036;039;042;045;047;050;053;056;059;062;065;068;071
12;018;021;024;027;031;034;037;040;043;046;049;052;055;058;062;065;068;071;074;077
13;023;027;030;033;036;040;043;046;049;053;056;059;062;066;069;072;075;079;082;085
14;026;029;033;037;040;044;047;051;054;058;061;065;068;072;075;079;082;086;089;093
15;029;033;036;040;044;048;051;055;059;063;066;070;074;078;081;085;089;093;096;100
16;033;037;041;046;050;054;058;062;066;070;075;079;083;087;091;095;100;104;108;112
17;037;041;045;049;054;058;062;066;070;074;078;082;086;090;095;099;103;107;111;115
18;038;042;046;051;055;059;063;067;072;076;080;084;089;093;097;101;105;110;114;118
19;039;043;048;052;056;061;065;069;073;078;082;086;091;095;099;104;108;112;117;121
20;040;045;049;054;058;062;067;071;076;080;084;089;093;098;102;106;111;115;120;124
